JB Securities (Pvt) Ltd
Date,Sector,Index,Turnover,Volume,Trades,Chg,Chg,ForeignBuy,ForeignSell,BS,ForeignNet,MarketCap,PER
2021-04-12,ASI,"7558.28","3514086420","87865745","24105",100.01,1.34,"31710544","538962766",S,"-507252222","3310416464047",15.34
2021-04-15,ASI,"7644.38","4717991554","197319740","30739",86.10,1.13,"182098522","445721554",S,"-263623032","3348129115211",15.51
2021-04-16,ASI,"7600.57","3557651697","142866727","25682",-43.81,-0.57,"19372300","127774378",S,"-108402078","3328938646152",15.18
